,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
147,SPXW250310P05900000,2025-03-07 21:12:30+00:00,5900.0,137.5,134.1,136.9,-28.529999,-17.183641,183.0,1781.0,0.26236699554443366,True,REGULAR,USD
148,SPXW250310P05905000,2025-03-07 21:03:31+00:00,5905.0,151.2,137.8,143.8,-37.309998,-19.792053,10.0,73.0,0.28983254119873036,True,REGULAR,USD
149,SPXW250310P05910000,2025-03-07 20:54:29+00:00,5910.0,147.91,143.8,146.6,-34.42,-18.877857,273.0,934.0,0.2726513165283203,True,REGULAR,USD
150,SPXW250310P05915000,2025-03-07 20:49:04+00:00,5915.0,149.0,147.5,153.5,-41.839996,-21.924124,67.0,54.0,0.30086453536987307,True,REGULAR,USD
151,SPXW250310P05920000,2025-03-07 21:04:08+00:00,5920.0,163.09,152.4,158.4,-22.5,-12.123498,294.0,508.0,0.30676962768554683,True,REGULAR,USD
152,SPXW250310P05925000,2025-03-07 20:59:45+00:00,5925.0,154.63,157.4,163.4,-35.97,-18.871984,28.0,290.0,0.31371230728149413,True,REGULAR,USD
153,SPXW250310P05930000,2025-03-07 20:55:50+00:00,5930.0,151.1,162.3,168.3,-42.36,-21.895998,307.0,141.0,0.31949533050537104,True,REGULAR,USD
154,SPXW250310P05935000,2025-03-07 20:30:23+00:00,5935.0,166.22,167.3,173.3,-31.619995,-15.98261,35.0,120.0,0.3263311996459961,True,REGULAR,USD
155,SPXW250310P05940000,2025-03-07 20:56:45+00:00,5940.0,166.9,172.2,178.3,-36.740005,-18.041645,224.0,591.0,0.33312129287719733,True,REGULAR,USD
156,SPXW250310P05945000,2025-03-07 20:12:47+00:00,5945.0,170.86,169.8,188.1,-12.360001,-6.745989,25.0,64.0,0.390982042388916,True,REGULAR,USD
157,SPXW250310P05950000,2025-03-07 20:36:36+00:00,5950.0,188.23,174.7,193.7,-30.080002,-13.778573,211.0,712.0,0.4041502456665039,True,REGULAR,USD
